,query,facet,question,reference,t5-candidate,ru-candidate,answer1,answer2,answer3,answer4
166,milwaukee journal sentinel,find the sports section of the milwaukee journal sentinel.,which section of the paper do you want,i just said the sports section,i want the sports section of the milwaukee journal sentinel,i want the sports section of the milwaukee journal sentinel,i just said the sports section,i want the sports section of the milwaukee journal sentinel,i want the sports section of the milwaukee journal sentinel,find the sports section of the milwaukee journal sentinel.
167,pocono,find a map showing lodgings in the poconos pa region.,have you been to the poconos before,i dont know,no i am looking for a map showing lodgings in the poconos pa region,no i want a map showing lodgings in the poconos pa region,i dont know,find a map showing lodgings in the poconos pa region.,no i am looking for a map showing lodgings in the poconos pa region,no i want a map showing lodgings in the poconos pa region
168,vldl levels,"what is the difference between ldl, hdl, and vldl?",would you like to take a survey on your cholesterol,no i just want to know the diffrences of the things i listed,yes,no,no,no i just want to know the diffrences of the things i listed,yes,"what is the difference between ldl, hdl, and vldl?"
169,universal animal cuts reviews,sites that sell universal animal cuts that include product reviews.,were you wondering about how universal animal cuts works,no i just need sites that sell universal animal cuts,no i want to know about sites that sell universal animal cuts that include product reviews,no i am looking for sites that sell universal animal cuts that include product reviews,no i want to know about sites that sell universal animal cuts that include product reviews,no i am looking for sites that sell universal animal cuts that include product reviews,no i just need sites that sell universal animal cuts,sites that sell universal animal cuts that include product reviews.
170,wedding budget calculator,how can i plan an inexpensive wedding?,did you want to see if there was an app to do it,yes,no i want to know how to plan an inexpensive wedding,no i want to know how to plan an inexpensive wedding,how can i plan an inexpensive wedding?,yes,no i want to know how to plan an inexpensive wedding,no i want to know how to plan an inexpensive wedding
171,the secret garden,find reviews of the various tv and movie adaptations of the secret garden.,are you interested in the original classic book by frances hodges burnett,no not the book,no i want to see reviews of the movie adaptations of the secret garden,no i am interested in reviews of the secret garden,find reviews of the various tv and movie adaptations of the secret garden.,no i am interested in reviews of the secret garden,no i want to see reviews of the movie adaptations of the secret garden,no not the book
172,espn sports,i want to find nba basketball standings.,do you want to know who owns espn,no i want to know current nba standings,no i want to find nba basketball standings,no i want to find the nba basketball standings,i want to find nba basketball standings.,no i want to find nba basketball standings,no i want to find the nba basketball standings,no i want to know current nba standings
173,diversity,"find quotes, poems, and/or artwork illustrating and promoting diversity.",would you like to see results about diversity in a business setting,no i am looking for poems quotes and artwork about diversity,"no i want quotes, poems and artwork promoting diversity","no i want quotes, poems and/or artworks illustrating diversity","no i want quotes, poems and/or artworks illustrating diversity","no i want quotes, poems and artwork promoting diversity","find quotes, poems, and/or artwork illustrating and promoting diversity.",no i am looking for poems quotes and artwork about diversity
174,kansas city mo,"find information on the hallmark visitors center in kansas city, mo.",are you interested in upcomming events in kasas city mo,no just the hallmark center info,no i am interested in the hallmark visitors center in kansas city mo,no i am interested in the hallmark visitors center in kansas city mo,no just the hallmark center info,no i am interested in the hallmark visitors center in kansas city mo,"find information on the hallmark visitors center in kansas city, mo.",no i am interested in the hallmark visitors center in kansas city mo
175,vanuatu,find a map of the islands of vanuatu.,are you interested in the location of vanuatu,yes i would like to see it on a map,no i want a map of the islands of vanuatu,yes a map of the islands of vanuatu,yes a map of the islands of vanuatu,yes i would like to see it on a map,no i want a map of the islands of vanuatu,find a map of the islands of vanuatu.
176,djs,how do i become a radio disc jockey?,are you a dj,no im looking to become one,no i want to become a radio disc jockey,no i want to know how to become a radio disc jockey,no im looking to become one,how do i become a radio disc jockey?,no i want to know how to become a radio disc jockey,no i want to become a radio disc jockey
177,rice,find the homepage of rice university.,do you need instructions for cooking rice,no i want to access the homepage of rice university,no i need the homepage of the university,no i need the homepage of the university,find the homepage of rice university.,no i need the homepage of the university,no i need the homepage of the university,no i want to access the homepage of rice university
178,pocono,find a map showing lodgings in the poconos pa region.,would you like to book a flight to pocono couples retreat,no i would like a lodging map of hte poconos pa region,no i want a map showing lodgings in poconos pa,no i want a map showing lodgings in the poconos pa region,no i would like a lodging map of hte poconos pa region,find a map showing lodgings in the poconos pa region.,no i want a map showing lodgings in poconos pa,no i want a map showing lodgings in the poconos pa region
179,credit report,how do i get my free annual credit report?,do you want information on what is in a credt report,no i want to know how to get mine for free,no i want to get my free annual credit report,no i want to get my free annual credit report,no i want to know how to get mine for free,no i want to get my free annual credit report,how do i get my free annual credit report?,no i want to get my free annual credit report
